"","JM1710_Coe_Spring_Run","JM1711_Paradise_Park_Spring","JM1716_Bell_Spring","JM1717_Buzzard_Fountain","JM1719_Palmer_B","JM1722_James_Spring","JM1724_Lolo_Spring","JM1726_Choss_Seep","JM1727_Zigzag_Spring","JM1728_Coe_Spring_B","JM1766_James_Spring","JM1767_Sandy_Creek_Trib.","JM1776_Buzzard_Fountain","JM1778_Paradise_Park_Spring","JM1785_Choss_Seep"
"Otu00084",5,6,4,7,0,53,3,0,0,25,6,0,9,4,1
"Otu00085",5,0,83,1,0,0,0,13,0,13,1595,13,0,11,12
"Otu00086",0,0,0,0,0,0,0,0,0,0,0,0,1483,0,0
"Otu00087",0,0,0,0,0,0,0,0,0,0,0,0,101,0,0
"Otu00088",0,0,0,0,0,0,0,0,0,0,0,0,230,1,0
"Otu00090",0,0,0,0,0,0,0,20,0,0,0,0,0,899,0
"Otu00091",0,0,0,161,152,0,92,48,2,4,0,45,0,76,0
"Otu00092",0,0,0,5,8,1,2,0,0,0,0,0,2172,0,0
"Otu00095",38,105,1,0,0,96,56,246,44,216,138,23,3,13,1
"Otu00096",0,5,0,0,0,0,0,0,0,0,0,0,868,0,0
"Otu00097",1,34,56,10,0,163,102,31,0,1285,19,3,23,0,604
"Otu00098",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Otu00099",0,39,0,52,8,0,2,3,0,58,15,178,6,22,5
"Otu00100",199,50,311,1,33,189,162,16,0,2,41,262,0,69,25
"Otu00101",0,0,1,26,0,8,0,3,0,41,0,0,0,4,9
"Otu00102",74,24,4,98,67,88,219,47,0,275,1,110,0,36,2
"Otu00103",0,0,0,0,185,0,0,0,0,0,0,0,0,0,0
"Otu00104",18,7,10,11,40,20,13,8,20,28,70,9,1,0,2
"Otu00105",0,0,5,5,69,0,10,11,6,9,0,16,0,105,0
"Otu00106",239,33,346,8,3,148,4,23,96,54,21,19,0,27,25
"Otu00107",13,16,1,14,0,3,0,373,438,0,0,1,0,0,0
"Otu00108",0,0,0,16,0,0,0,0,0,0,0,2,0,0,0
"Otu00109",0,0,0,0,0,0,0,0,0,0,0,0,2052,0,0
"Otu00110",154,115,126,11,206,1,90,39,51,103,37,223,0,29,15
"Otu00111",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Otu00112",17,13,73,152,71,7,55,46,27,10,0,115,10,87,6
"Otu00113",36,0,21,338,0,24,26,9,0,28,195,9,2,98,30
"Otu00114",43,35,158,26,3,845,108,0,2,31,11,87,0,21,63
"Otu00115",0,1,0,0,14,0,0,0,0,0,0,0,0,0,0
"Otu00116",131,0,344,0,0,690,0,0,0,39,27,0,0,0,3
"Otu00117",0,0,0,0,0,356,0,0,0,7,0,0,0,0,0
"Otu00118",2,1,1431,7,0,4,99,0,0,96,20,1,2,0,372
"Otu00119",2,0,3,0,0,0,2,0,0,0,0,8,0,60,0
"Otu00120",0,0,8,38,0,0,0,0,0,24,50,7,38,2,0
"Otu00121",151,143,96,85,36,204,26,10,0,183,11,28,1,23,3
"Otu00123",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Otu00124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00125",0,0,0,0,0,0,1,0,0,1918,0,2,0,0,0
"Otu00126",0,0,9,0,0,1,0,6,0,0,15,684,0,0,0
"Otu00127",0,0,0,0,0,0,5,0,0,16,55,0,0,571,7
"Otu00128",0,0,0,0,0,0,0,0,0,0,0,0,1117,0,0
"Otu00129",14,1,5,24,11,6,26,9,0,16,0,22,0,55,0
"Otu00130",54,36,1,26,0,136,174,29,0,150,3,120,0,136,23
"Otu00131",50,95,51,221,26,624,13,2,0,80,7,31,0,1,6
"Otu00132",133,28,1,103,243,308,2,0,25,1,0,66,0,82,35
"Otu00133",6,0,0,178,0,0,0,0,0,13,0,0,0,0,0
"Otu00134",67,87,49,32,235,108,29,0,0,23,15,34,0,8,10
"Otu00135",0,1,0,0,0,0,0,0,0,0,0,104,0,0,0
"Otu00136",211,2,36,52,0,37,16,1,0,280,0,116,0,0,2
"Otu00137",0,0,0,1,0,0,0,0,0,45,0,0,0,150,2
"Otu00139",0,0,0,55,811,7,0,3,0,0,0,2,0,1,1
"Otu00140",97,17,65,50,12,92,114,12,0,119,18,80,0,62,27
"Otu00141",0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
"Otu00142",0,0,0,0,787,0,0,0,0,0,0,0,0,0,0
"Otu00143",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00144",0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
"Otu00145",0,0,0,0,0,0,732,0,0,0,26,0,0,0,0
"Otu00146",0,0,0,0,0,0,0,0,0,0,981,0,0,0,0
"Otu00148",24,0,1,7,644,2,24,4,0,11,0,21,0,19,0
"Otu00149",2,13,4,0,0,5,0,0,0,0,0,958,0,1,1
"Otu00150",0,0,2,5,264,0,5,0,0,0,0,3,0,39,0
"Otu00151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00153",1,5,5,105,312,6,104,8,6,7,0,8,0,47,1
"Otu00155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00156",0,0,0,0,938,0,0,0,0,0,0,0,0,0,0
"Otu00157",3,26,85,12,0,61,1,21,0,30,96,64,6,0,136
"Otu00158",0,0,0,0,0,1,0,0,0,0,0,0,62,0,0
"Otu00159",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00160",0,0,0,0,0,0,0,0,0,0,0,0,777,0,0
"Otu00161",8,0,1040,6,0,20,111,0,0,87,0,1,0,59,33
"Otu00162",20,24,51,6,44,16,15,0,0,31,39,33,0,0,1
"Otu00163",0,0,0,481,0,0,26,0,0,0,0,1,0,0,441
"Otu00164",14,2,350,0,0,0,0,12,0,28,0,0,0,0,0
"Otu00165",12,0,664,47,0,16,0,0,0,21,4,0,0,0,508
"Otu00166",0,2,6,4,0,12,6,9,10,10,27,6,0,40,3
"Otu00167",235,0,736,12,0,357,16,0,0,134,0,0,0,2,0
"Otu00168",0,2,13,1,578,0,0,0,0,44,2,1,0,21,0
"Otu00169",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Otu00170",6,31,11,14,0,14,103,205,158,80,55,3,2,2,184
"Otu00171",0,0,0,0,0,0,0,0,0,0,0,0,620,0,0
"Otu00172",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Otu00173",0,1,3,65,0,0,45,27,10,9,0,290,0,7,2
"Otu00174",0,2,0,0,0,6,1,0,0,0,9,18,0,103,2
"Otu00175",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
"Otu00176",0,0,0,0,0,0,0,0,0,0,0,0,88,0,0
"Otu00177",0,0,0,0,0,0,0,0,0,0,0,0,63,0,0
"Otu00178",1,96,2,6,12,6,18,0,2,0,0,17,0,129,0
"Otu00179",15,7,82,6,0,67,2,13,0,2,11,2,0,22,57
