"","JM1710_Coe_Spring_Run","JM1711_Paradise_Park_Spring","JM1716_Bell_Spring","JM1717_Buzzard_Fountain","JM1719_Palmer_B","JM1722_James_Spring","JM1724_Lolo_Spring","JM1726_Choss_Seep","JM1727_Zigzag_Spring","JM1728_Coe_Spring_B","JM1766_James_Spring","JM1767_Sandy_Creek_Trib.","JM1776_Buzzard_Fountain","JM1778_Paradise_Park_Spring","JM1785_Choss_Seep"
"Otu02533",1,0,53,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02535",0,0,0,0,0,0,12,0,0,7,0,0,0,0,2
"Otu02536",10,0,0,1,0,0,1,4,0,9,0,0,0,1,0
"Otu02538",0,0,0,0,0,0,0,0,0,0,3,0,0,5,0
"Otu02539",4,0,0,0,0,1,0,0,0,40,0,0,0,0,0
"Otu02540",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"Otu02541",0,0,23,0,0,2,0,0,0,1,0,1,0,0,0
"Otu02543",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Otu02546",0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
"Otu02547",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02548",4,0,0,18,0,0,0,0,0,0,0,0,0,0,0
"Otu02549",0,0,0,1,0,0,0,0,0,0,19,0,0,0,0
"Otu02550",0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02551",0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
"Otu02553",7,0,1,4,0,0,1,0,0,6,0,0,0,0,0
"Otu02554",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"Otu02555",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Otu02558",2,0,14,1,0,0,0,0,0,3,5,0,0,1,0
"Otu02559",5,0,0,0,0,1,1,6,0,8,0,0,0,0,2
"Otu02560",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"Otu02561",7,0,12,3,1,6,1,0,0,0,0,0,0,0,0
"Otu02562",0,0,0,0,0,0,0,0,0,0,0,1,26,0,0
"Otu02563",10,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Otu02564",5,0,2,0,0,1,0,0,0,0,6,0,0,0,0
"Otu02565",14,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Otu02566",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Otu02567",4,0,3,6,0,0,0,2,0,0,3,5,0,1,0
"Otu02568",1,5,0,0,0,3,0,0,0,0,2,2,0,1,3
"Otu02572",1,0,21,0,1,2,0,1,0,3,0,2,0,0,0
"Otu02573",0,0,0,0,0,0,1,0,0,36,0,0,0,0,3
"Otu02575",0,0,0,0,0,31,0,0,0,19,0,0,0,0,0
"Otu02577",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"Otu02578",0,0,0,0,0,0,0,0,0,0,0,1,0,10,0
"Otu02579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02580",0,3,0,0,0,1,10,0,0,0,1,9,0,0,0
"Otu02583",0,0,5,0,0,0,0,0,0,0,0,7,0,0,0
"Otu02584",0,0,7,0,1,3,0,4,0,3,0,0,0,0,0
"Otu02586",2,0,0,0,0,0,2,1,0,2,0,10,0,5,3
"Otu02588",4,2,0,0,0,19,0,0,0,0,7,0,0,0,2
"Otu02589",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"Otu02592",0,4,0,1,0,0,9,0,0,0,0,0,0,0,0
"Otu02593",0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
"Otu02595",3,0,0,0,0,0,6,0,0,0,0,3,0,0,0
"Otu02596",10,0,4,1,0,1,4,0,0,2,0,0,0,0,0
"Otu02597",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02598",0,3,4,0,0,11,0,0,0,0,12,0,0,0,0
"Otu02599",0,0,2,0,1,0,8,0,0,0,0,0,0,0,0
"Otu02600",0,0,0,0,0,12,1,0,0,0,0,0,0,0,1
"Otu02601",12,0,0,1,0,5,0,0,0,0,5,0,0,0,0
"Otu02602",1,2,1,0,0,1,0,0,24,0,0,1,0,2,0
"Otu02603",10,0,0,0,0,3,2,0,0,3,0,0,0,3,0
"Otu02604",0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
"Otu02605",0,0,0,0,0,0,0,0,0,0,10,12,0,0,0
"Otu02606",0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
"Otu02607",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"Otu02609",14,0,4,2,0,2,0,0,0,5,0,0,0,1,0
"Otu02610",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02611",1,0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Otu02612",0,0,0,0,0,0,0,1,0,0,1,15,0,5,0
"Otu02613",3,0,0,3,0,31,1,0,0,2,0,4,0,2,0
"Otu02617",0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
"Otu02618",0,2,1,0,0,1,8,0,0,0,0,0,0,6,0
"Otu02620",1,1,0,0,0,19,1,0,0,8,0,0,0,0,0
"Otu02621",5,0,24,2,0,0,0,0,0,2,0,0,0,0,0
"Otu02622",0,0,0,0,14,0,0,0,0,0,0,0,0,5,0
"Otu02623",0,0,0,0,0,2,0,0,0,0,26,0,0,0,0
"Otu02625",21,0,0,3,0,0,2,0,0,0,0,2,0,0,0
"Otu02626",0,0,0,0,2,0,0,0,0,0,1,0,0,13,0
"Otu02627",0,0,0,0,9,0,0,0,0,0,0,8,0,0,0
"Otu02628",0,1,0,0,0,1,13,0,0,0,0,0,0,0,0
"Otu02629",1,2,0,0,0,0,3,0,0,0,2,0,0,3,0
"Otu02631",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"Otu02634",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Otu02635",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"Otu02637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02638",0,0,0,2,0,0,0,3,0,0,1,0,0,1,0
"Otu02640",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Otu02641",0,0,1,0,1,0,0,0,0,1,0,3,0,2,0
"Otu02642",0,0,0,0,0,0,0,0,0,0,0,13,1,0,0
"Otu02643",3,0,21,0,0,4,0,0,0,1,0,0,0,0,10
"Otu02644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02645",1,0,0,0,1,6,10,0,0,0,0,1,0,1,0
"Otu02646",0,1,0,0,0,0,0,0,0,0,7,1,0,0,0
"Otu02647",22,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"Otu02648",0,0,0,14,0,0,2,0,0,18,0,0,0,0,0
"Otu02649",1,2,0,0,1,8,0,0,0,1,0,3,0,1,4
"Otu02650",5,0,0,2,0,0,9,12,1,0,0,0,0,0,0
"Otu02651",0,0,0,0,0,0,0,0,0,0,0,2,5,0,0
"Otu02652",2,0,5,12,0,3,0,0,0,2,0,0,0,0,0
"Otu02654",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Otu02656",14,0,1,1,0,0,3,0,0,3,0,5,0,1,0
"Otu02657",11,0,0,0,0,5,0,13,0,0,0,1,0,0,0
"Otu02658",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Otu02659",6,2,0,1,0,0,0,0,0,0,9,2,0,0,4
"Otu02662",0,4,0,0,0,0,0,0,0,0,7,0,0,0,0
"Otu02663",1,0,11,0,0,6,6,0,0,6,0,0,0,1,0
"Otu02665",0,0,0,1,0,0,15,0,0,0,0,0,0,3,0
"Otu02666",2,0,3,4,0,4,0,0,0,0,6,3,0,0,1
"Otu02667",0,0,5,0,0,0,0,0,0,0,4,0,0,0,4
"Otu02669",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
"Otu02670",0,0,0,0,0,0,7,0,0,0,9,0,0,1,0
"Otu02672",9,0,1,0,0,0,0,0,0,0,2,0,0,0,15
"Otu02673",3,0,0,10,0,15,0,0,0,0,0,0,0,0,0
"Otu02676",0,0,2,1,1,0,5,0,0,5,0,0,0,0,0
"Otu02678",0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
"Otu02679",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Otu02680",0,0,1,0,0,0,11,0,0,2,0,0,0,0,6
"Otu02682",1,0,0,21,0,0,0,0,0,0,0,2,0,0,0
"Otu02683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02684",7,1,1,1,6,0,1,0,0,1,0,1,0,1,5
"Otu02685",6,0,4,0,0,1,0,0,0,8,3,3,0,0,3
"Otu02686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02688",0,0,2,0,0,0,0,0,0,0,0,0,0,0,29
"Otu02689",0,0,21,0,0,0,2,0,0,8,2,5,0,0,0
"Otu02691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02692",0,0,0,0,0,0,0,1,0,4,20,0,0,0,0
"Otu02695",0,0,1,0,0,0,0,0,0,0,24,0,0,1,0
"Otu02696",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02698",13,0,14,0,0,6,0,0,0,1,0,1,0,0,0
"Otu02701",0,0,3,0,0,7,1,0,0,0,10,0,17,0,0
"Otu02703",0,0,3,0,0,0,17,0,0,0,0,0,0,0,0
"Otu02705",3,0,14,0,0,6,3,0,0,7,0,1,0,0,0
"Otu02706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02707",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02708",1,0,31,0,0,5,1,0,0,3,0,0,0,0,0
"Otu02710",0,0,4,0,0,0,5,5,0,2,0,0,0,1,1
"Otu02711",0,5,0,18,0,0,0,0,0,0,0,0,0,0,0
"Otu02712",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Otu02713",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Otu02714",0,0,27,0,0,1,0,0,0,4,0,0,0,0,0
"Otu02720",2,2,0,0,0,16,0,0,0,19,0,0,0,0,1
"Otu02721",3,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Otu02722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02723",6,0,0,3,0,1,0,0,0,0,3,0,0,2,0
"Otu02724",0,0,0,1,0,0,1,0,0,0,0,3,0,6,0
"Otu02725",2,0,0,0,0,1,0,0,0,21,9,0,0,0,0
"Otu02729",2,0,0,0,0,1,3,0,0,0,0,0,0,0,0
"Otu02731",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Otu02732",0,0,0,2,0,2,0,0,0,9,8,0,0,0,2
"Otu02738",0,0,1,0,0,0,0,0,0,0,7,0,0,0,0
"Otu02739",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02740",12,0,1,0,0,8,0,0,0,13,0,1,0,0,4
"Otu02742",9,0,3,0,0,1,0,0,0,0,2,0,0,0,6
"Otu02743",2,0,15,0,0,5,0,0,0,0,0,0,0,0,0
"Otu02744",15,2,1,0,0,25,0,0,0,0,0,0,0,0,0
"Otu02745",3,1,8,1,1,11,2,0,0,4,5,0,0,0,0
"Otu02746",0,0,38,0,0,0,0,0,0,4,0,0,0,0,0
"Otu02747",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"Otu02748",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Otu02750",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu02751",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Otu02752",0,0,0,0,0,0,7,0,0,5,0,3,0,0,1
"Otu02753",0,0,28,0,0,0,0,0,0,0,11,0,0,0,0
"Otu02754",1,1,0,0,0,32,0,0,0,5,0,0,0,0,2
"Otu02755",0,0,0,7,0,0,0,0,0,0,10,0,0,0,0
"Otu02756",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Otu02757",10,0,1,0,0,23,0,0,0,8,0,2,0,0,0
"Otu02758",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Otu02760",0,0,0,0,0,0,21,0,0,0,0,1,0,0,0
"Otu02761",0,0,0,0,0,3,0,0,0,2,6,0,0,0,0
"Otu02762",0,0,4,0,0,7,1,0,0,1,1,1,0,0,7
"Otu02766",0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"Otu02767",0,0,5,0,0,4,0,10,0,0,0,0,0,0,0
"Otu02768",1,0,1,0,1,3,0,0,0,0,0,0,0,0,0
"Otu02769",1,0,0,0,0,4,0,0,0,0,0,1,0,0,0
"Otu02770",2,0,0,0,0,5,0,0,0,0,1,0,0,0,0
"Otu02771",0,12,0,0,0,1,0,0,0,0,0,0,0,0,0
"Otu02772",0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
"Otu02773",0,0,2,0,0,0,0,0,0,0,19,0,0,0,0
"Otu02774",3,1,0,0,0,2,1,2,0,0,0,8,0,0,3
"Otu02775",0,0,0,0,0,0,0,0,6,0,9,3,0,0,0
"Otu02776",0,0,6,0,0,0,15,0,0,0,0,0,0,0,0
"Otu02777",1,2,2,0,0,35,0,1,0,1,0,0,0,0,0
"Otu02778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02779",9,0,2,0,0,10,0,0,0,0,2,0,0,0,1
"Otu02780",4,0,0,0,0,0,0,10,0,1,0,0,0,0,0
"Otu02785",23,0,3,0,0,0,0,0,5,3,0,0,0,0,0
"Otu02787",0,0,0,0,0,1,0,0,0,5,0,2,0,0,0
"Otu02788",7,0,8,1,0,14,0,0,0,0,0,3,0,2,5
"Otu02789",17,0,0,0,0,19,0,0,0,2,0,0,0,0,0
"Otu02790",11,0,2,4,0,9,0,0,0,5,0,1,0,0,0
"Otu02791",0,0,3,1,0,1,4,0,0,0,0,11,0,0,1
"Otu02792",0,0,10,1,0,0,2,0,0,0,0,0,0,1,0
"Otu02793",1,0,0,1,0,3,2,0,0,2,1,1,0,7,0
"Otu02794",12,0,0,2,0,1,0,0,0,6,0,0,0,1,0
"Otu02796",0,0,19,0,0,0,0,0,0,0,13,0,0,0,1
"Otu02797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02798",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02799",12,0,0,2,0,0,0,0,0,0,1,0,0,0,0
"Otu02800",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"Otu02801",3,0,3,0,0,0,0,0,0,0,2,0,0,0,0
"Otu02802",0,0,1,0,0,42,0,0,0,0,0,1,0,0,0
"Otu02803",0,0,11,0,0,0,3,0,0,2,2,0,0,0,0
"Otu02804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02805",0,0,1,3,6,19,0,0,0,0,0,0,0,0,0
"Otu02806",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"Otu02808",4,0,0,4,0,5,0,0,0,7,1,0,0,0,0
"Otu02810",4,0,13,0,0,1,0,0,0,3,0,0,0,0,0
"Otu02812",0,0,4,0,0,0,0,0,0,0,0,1,0,0,20
"Otu02813",0,0,0,0,0,0,0,0,2,0,0,0,3,0,0
"Otu02814",11,0,1,6,0,1,0,0,0,0,0,0,0,1,0
"Otu02815",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02817",2,0,4,1,0,4,1,0,1,0,0,0,0,0,0
"Otu02818",1,0,12,0,0,3,0,0,0,5,0,13,0,0,0
"Otu02820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02821",10,0,12,0,0,14,0,0,0,0,0,0,0,0,1
"Otu02822",0,0,0,0,0,42,0,0,0,0,5,0,2,0,1
"Otu02825",2,0,2,2,0,2,2,0,0,0,0,0,0,0,0
"Otu02826",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"Otu02827",0,0,0,0,0,5,0,0,0,0,0,0,0,0,29
"Otu02828",0,0,0,0,0,0,0,0,0,0,11,1,0,1,0
"Otu02829",9,0,0,0,0,1,0,6,0,0,0,0,0,0,0
"Otu02830",0,0,1,0,0,0,12,0,0,6,0,1,0,0,0
"Otu02831",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02832",7,0,3,0,0,3,0,0,0,3,0,0,0,0,0
"Otu02833",0,2,0,2,0,10,0,3,0,0,0,0,0,0,4
"Otu02834",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"Otu02835",10,0,12,0,0,2,0,0,4,0,0,0,0,0,0
"Otu02836",0,0,1,0,0,0,0,0,0,0,6,0,0,0,0
"Otu02837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02838",4,0,4,3,0,12,0,0,0,6,0,1,0,0,0
"Otu02839",6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Otu02840",0,9,2,0,0,6,0,0,0,4,0,0,0,0,0
"Otu02841",9,0,0,3,0,1,0,0,0,7,2,0,0,0,0
"Otu02843",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Otu02845",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"Otu02847",17,0,1,2,0,3,0,0,0,1,0,6,0,0,0
"Otu02848",0,6,0,0,0,1,0,0,0,0,13,1,0,1,0
"Otu02849",0,0,0,0,0,2,0,0,0,0,13,0,0,0,0
"Otu02850",0,1,0,0,0,12,0,1,0,13,0,0,0,0,0
"Otu02851",3,0,0,0,0,1,10,1,0,0,0,4,0,0,0
"Otu02852",0,0,0,0,0,0,8,0,0,0,0,0,0,1,0
"Otu02853",1,0,0,0,0,0,2,3,0,0,1,2,0,4,0
"Otu02854",0,0,0,0,0,0,0,2,0,0,0,0,0,5,0
"Otu02855",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02856",0,0,0,0,0,0,3,14,0,0,0,0,0,0,0
"Otu02857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02858",0,7,0,2,0,0,0,0,22,0,0,0,0,0,0
"Otu02859",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02860",3,0,1,2,0,0,1,0,0,2,4,0,0,0,0
"Otu02862",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02863",3,0,10,2,0,0,0,0,0,0,0,0,0,0,0
"Otu02864",0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
"Otu02865",6,0,0,0,0,31,0,0,0,6,0,0,0,0,0
"Otu02866",0,0,1,1,0,0,0,0,0,4,0,0,0,0,0
"Otu02867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02869",0,0,1,4,0,0,0,0,0,0,0,0,0,4,1
"Otu02871",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02872",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02873",1,0,0,0,0,2,0,0,0,0,7,0,0,1,0
"Otu02874",0,0,33,0,0,0,0,0,0,5,0,2,0,0,0
"Otu02875",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Otu02876",0,0,0,0,0,51,0,0,0,0,0,0,0,0,0
"Otu02877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02878",0,0,0,0,3,0,3,0,0,0,0,2,0,0,0
"Otu02879",1,0,0,1,0,1,0,0,0,0,6,0,0,0,0
"Otu02880",5,0,1,0,0,10,0,0,0,12,0,0,0,0,0
"Otu02881",4,3,1,0,0,8,1,0,0,4,0,1,0,2,2
"Otu02882",0,0,0,3,0,2,1,0,0,6,0,0,0,1,0
"Otu02883",2,0,4,0,0,2,0,0,0,0,3,1,0,4,2
"Otu02885",0,3,0,0,0,4,3,0,0,0,2,3,0,1,2
"Otu02886",15,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"Otu02887",0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
"Otu02888",1,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Otu02889",1,0,2,1,0,15,0,0,0,1,0,0,0,0,0
"Otu02890",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"Otu02892",0,2,0,0,0,5,0,0,0,0,1,2,0,0,4
"Otu02894",0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
"Otu02895",0,0,23,0,0,0,0,0,0,16,0,0,0,0,0
"Otu02896",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02897",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"Otu02898",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02899",2,0,1,1,0,1,0,0,0,4,1,2,0,0,0
"Otu02900",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
"Otu02901",0,0,1,0,0,9,0,0,0,8,1,0,14,0,1
"Otu02902",0,0,9,1,0,1,0,0,0,0,0,3,0,0,0
"Otu02903",0,0,0,0,5,0,0,0,0,0,0,0,0,4,0
"Otu02905",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Otu02907",0,0,0,0,0,0,0,10,21,0,0,0,0,0,0
"Otu02908",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02909",13,0,18,2,0,0,0,0,0,0,0,0,0,0,1
"Otu02910",4,1,14,4,0,0,0,0,0,1,0,0,0,0,1
"Otu02912",7,0,0,0,0,2,0,1,0,0,2,0,3,0,0
"Otu02914",0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
"Otu02915",1,0,10,0,0,1,0,0,0,6,0,8,0,1,3
"Otu02916",4,0,0,1,0,28,0,0,0,4,0,0,0,0,2
"Otu02917",0,6,0,0,0,2,0,0,0,1,4,0,0,0,0
"Otu02918",0,0,0,0,0,1,0,0,0,6,1,0,0,0,0
"Otu02921",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02922",14,0,0,0,0,10,0,0,0,11,0,0,0,0,0
"Otu02924",2,0,11,0,0,6,0,0,0,0,0,0,0,0,1
"Otu02926",0,3,0,0,0,0,0,0,0,0,4,0,0,0,14
"Otu02928",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Otu02929",0,0,0,0,0,7,1,0,0,0,14,0,0,0,0
"Otu02930",0,1,22,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02933",3,0,8,0,0,8,0,3,0,3,0,2,0,0,0
"Otu02934",0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
"Otu02935",4,0,8,0,0,2,1,5,0,0,0,3,0,0,0
"Otu02936",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Otu02937",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"Otu02938",0,0,0,1,19,1,0,0,0,0,0,0,0,0,0
"Otu02939",2,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"Otu02940",0,0,0,3,0,0,0,2,4,1,0,0,0,0,0
"Otu02942",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Otu02943",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
"Otu02945",0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
"Otu02946",4,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"Otu02948",4,0,3,5,0,3,0,0,0,0,8,0,0,0,1
"Otu02949",0,0,27,1,0,0,2,0,0,0,1,0,0,0,0
"Otu02950",0,0,0,0,9,0,8,0,0,0,0,0,0,0,0
"Otu02952",0,0,0,1,0,0,8,0,0,0,0,0,0,0,0
"Otu02953",1,1,0,1,2,0,0,0,0,0,0,0,0,0,0
"Otu02954",10,0,0,1,0,6,0,0,0,0,3,1,0,0,0
"Otu02956",1,1,5,1,0,11,2,0,0,3,1,2,0,0,3
"Otu02958",0,0,0,0,0,0,0,0,0,1,0,1,0,0,17
"Otu02959",0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
"Otu02960",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Otu02961",0,0,0,0,0,24,0,0,0,0,0,0,0,6,0
"Otu02962",2,0,2,0,0,4,4,0,0,6,1,0,0,0,1
"Otu02963",6,0,9,0,0,1,0,0,0,2,0,3,0,0,2
"Otu02964",0,1,2,0,0,1,0,0,0,0,11,0,0,0,0
"Otu02965",0,1,0,0,0,0,0,0,0,0,0,0,0,5,0
"Otu02966",2,0,0,2,0,0,3,1,0,5,5,1,0,0,0
"Otu02967",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Otu02968",2,0,0,2,0,0,0,0,0,3,0,0,0,0,0
"Otu02971",0,0,0,1,4,0,9,0,0,2,0,0,0,0,4
"Otu02972",7,1,4,0,0,2,1,0,0,0,0,1,0,1,0
"Otu02973",0,0,0,0,0,0,1,0,0,1,0,12,0,1,0
"Otu02974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02975",0,3,1,1,0,9,0,3,0,0,1,1,0,0,0
"Otu02976",0,0,5,0,0,1,0,3,0,1,2,0,0,0,0
"Otu02977",0,0,0,0,0,0,6,0,0,28,0,0,0,0,0
"Otu02978",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02980",0,0,0,0,0,0,0,0,0,0,0,0,2,6,0
"Otu02981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02984",1,0,0,2,0,0,9,0,0,0,0,0,0,3,0
"Otu02986",0,0,0,0,0,0,0,11,17,0,0,0,0,0,0
"Otu02987",4,0,0,0,0,0,0,0,0,2,0,1,0,0,0
"Otu02988",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"Otu02989",0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"Otu02990",0,4,0,0,0,4,0,0,0,0,0,0,0,0,5
"Otu02991",12,0,3,0,0,7,0,0,0,4,0,0,0,0,0
"Otu02992",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
"Otu02993",8,0,0,0,0,10,0,0,0,2,0,2,0,0,0
"Otu02994",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Otu02995",0,0,0,0,0,7,3,6,0,4,0,0,0,0,5
"Otu02996",0,0,0,0,0,4,0,0,0,1,0,0,0,1,0
"Otu02998",9,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02999",0,0,1,0,0,0,0,0,0,0,0,0,13,0,0
"Otu03001",4,0,0,0,0,0,0,0,0,0,15,0,0,0,2
"Otu03002",7,0,7,1,0,7,0,0,0,2,0,0,0,0,0
"Otu03003",10,0,7,0,0,0,0,0,0,2,0,6,0,0,0
"Otu03004",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu03005",4,0,0,0,0,1,0,0,0,0,6,0,0,4,0
"Otu03006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu03007",4,0,6,5,0,2,0,0,0,5,0,0,0,0,0
"Otu03008",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"Otu03010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu03012",0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"Otu03013",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Otu03014",0,2,0,1,0,4,0,0,0,0,1,0,0,3,1
"Otu03015",3,0,0,0,0,6,0,0,0,0,1,0,0,1,1
"Otu03016",8,0,0,0,3,3,3,0,0,3,0,0,0,0,0
"Otu03019",2,0,0,3,0,0,0,0,0,0,0,0,0,0,8
"Otu03020",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"Otu03021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu03022",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Otu03023",0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
