"","JM1713_Rubideau","JM1714_Lunch_Creek","JM1715_Mineral_Creek_Spring","JM1741_McDonald_Creek_1","JM175_Mtn_Goat","JM1762_Mtn_Goat","JM1773_Lunch_Creek","JM1774_Crack_Spring","JM177_Piegan_North","JM179_Weeping_Wall"
"Otu02241",0,0,0,0,0,0,38,0,0,0
"Otu02242",0,0,0,0,0,0,0,0,0,0
"Otu02243",0,4,0,0,5,0,0,0,0,0
"Otu02244",0,0,0,0,0,0,0,0,18,0
"Otu02245",0,0,1,5,1,0,1,0,0,1
"Otu02246",0,0,0,0,0,0,0,0,0,0
"Otu02247",0,0,0,0,0,0,0,2,0,0
"Otu02248",0,0,0,0,0,0,0,0,0,20
"Otu02249",0,0,0,0,0,0,0,0,0,0
"Otu02250",0,0,0,0,0,0,0,0,0,0
"Otu02251",0,0,0,0,0,0,0,4,0,0
"Otu02252",0,0,0,0,0,0,7,8,0,0
"Otu02253",0,0,0,0,0,0,0,0,0,0
"Otu02254",0,0,0,0,0,0,0,0,0,0
"Otu02255",0,0,5,19,0,0,0,0,0,0
"Otu02256",0,0,0,0,0,0,0,0,0,0
"Otu02257",0,0,0,8,0,37,0,0,0,0
"Otu02258",0,0,0,0,0,0,0,0,0,0
"Otu02259",0,0,0,1,0,0,0,0,0,0
"Otu02260",0,0,0,0,4,0,0,0,0,0
"Otu02261",1,0,3,0,1,0,0,0,0,0
"Otu02262",0,0,0,0,0,0,0,0,0,0
"Otu02263",0,0,1,0,0,0,0,0,0,27
"Otu02264",0,0,0,0,15,0,0,0,0,0
"Otu02265",0,0,0,0,0,0,0,0,0,0
"Otu02266",0,1,0,0,0,0,0,0,0,0
"Otu02267",0,0,0,0,0,0,0,0,0,0
"Otu02268",0,0,0,0,0,0,3,1,0,0
"Otu02269",0,0,0,0,0,0,0,0,0,0
"Otu02270",0,0,4,0,0,0,0,0,0,14
"Otu02271",0,0,0,14,0,0,0,4,0,0
"Otu02272",0,0,0,4,0,0,0,0,0,0
"Otu02273",0,0,0,0,0,0,0,0,0,0
"Otu02275",0,0,0,0,0,0,0,0,0,0
"Otu02277",6,11,0,0,0,0,0,0,0,0
"Otu02278",0,0,0,0,0,6,0,0,0,0
"Otu02279",0,0,0,0,7,0,0,0,0,0
"Otu02280",0,9,2,0,0,0,0,0,0,0
"Otu02281",0,0,0,0,0,0,0,0,0,0
"Otu02283",0,6,0,0,0,2,0,1,0,0
"Otu02284",0,0,0,0,0,0,0,1,0,0
"Otu02285",0,0,0,0,1,0,10,0,0,0
"Otu02287",0,1,0,0,12,0,0,0,0,0
"Otu02288",0,0,0,0,0,0,0,0,0,0
"Otu02290",0,0,0,0,0,0,0,0,0,0
"Otu02291",0,0,0,0,1,0,0,0,0,0
"Otu02292",25,0,3,0,0,0,0,0,0,0
"Otu02293",0,0,0,0,0,0,0,0,0,0
"Otu02294",0,2,1,0,0,0,0,6,0,0
"Otu02295",0,0,0,0,0,0,0,0,0,0
"Otu02296",0,0,0,0,0,0,0,0,0,0
"Otu02298",0,0,0,0,0,0,0,23,0,0
"Otu02299",0,0,0,0,0,0,0,0,0,0
"Otu02300",0,0,0,0,1,0,9,3,0,0
"Otu02302",0,0,0,0,0,0,0,0,0,0
"Otu02303",0,0,2,0,0,0,0,0,0,0
"Otu02304",0,0,0,13,0,0,0,0,0,0
"Otu02305",0,0,0,0,0,0,0,0,0,0
"Otu02306",0,0,0,14,0,0,0,0,0,0
"Otu02307",0,0,0,0,0,0,0,0,0,0
"Otu02312",0,0,0,3,0,0,0,0,0,0
"Otu02314",0,0,2,0,0,0,0,0,0,0
"Otu02318",0,0,0,0,0,0,0,10,0,0
"Otu02320",0,0,0,0,0,0,0,12,0,0
"Otu02321",0,0,0,0,0,0,0,29,0,0
"Otu02322",0,0,0,1,0,0,0,0,12,0
"Otu02324",0,0,0,5,0,0,0,22,0,0
"Otu02326",0,2,0,1,0,0,0,5,0,0
"Otu02327",0,0,0,0,0,0,0,0,0,0
"Otu02328",0,0,0,0,0,0,0,3,0,0
"Otu02330",0,1,0,0,0,0,0,2,0,0
"Otu02331",0,2,0,0,0,0,0,0,0,1
"Otu02332",0,0,0,9,0,0,0,0,0,0
"Otu02333",0,0,0,0,14,0,0,0,0,1
"Otu02334",0,0,0,0,0,0,0,0,0,0
"Otu02336",0,0,0,0,0,0,0,0,0,0
"Otu02337",0,0,0,0,0,0,0,0,0,0
"Otu02338",0,0,0,0,0,0,0,0,0,0
"Otu02340",0,0,0,0,0,10,0,0,0,0
"Otu02341",0,0,0,0,0,0,0,7,0,0
"Otu02342",0,0,0,0,0,0,0,39,0,0
"Otu02343",0,0,0,9,0,0,0,0,0,0
"Otu02344",0,0,0,0,0,0,0,0,0,0
"Otu02346",2,0,0,0,2,0,0,0,0,0
"Otu02347",0,0,0,0,0,0,0,0,0,0
"Otu02348",0,0,0,0,0,0,0,0,0,14
"Otu02349",0,0,0,0,34,0,0,0,0,0
"Otu02350",0,0,0,4,0,0,6,14,0,0
"Otu02351",0,0,0,0,0,0,0,3,0,0
"Otu02352",0,0,0,1,0,0,0,0,0,0
"Otu02353",0,0,0,0,0,0,0,0,0,0
"Otu02354",2,2,0,0,0,0,2,1,0,0
"Otu02356",0,0,0,0,0,0,0,0,0,0
"Otu02357",0,0,0,0,0,0,0,0,0,0
"Otu02358",1,0,5,0,0,0,3,9,0,0
"Otu02360",0,0,0,0,0,0,0,0,0,0
"Otu02361",0,0,42,2,0,0,0,0,0,0
"Otu02362",0,0,0,0,0,0,0,0,0,0
"Otu02363",14,1,0,0,0,0,0,0,0,2
"Otu02364",0,0,0,0,0,0,1,0,0,0
"Otu02365",0,0,0,0,0,0,0,0,0,0
"Otu02368",0,0,0,17,0,0,0,0,0,0
"Otu02369",0,0,0,0,0,0,27,0,0,2
"Otu02370",0,0,1,1,1,0,0,2,0,0
"Otu02371",0,0,0,0,0,0,0,0,0,0
"Otu02372",0,0,0,0,33,0,0,0,0,0
"Otu02373",0,0,0,0,0,0,0,35,0,0
"Otu02374",0,0,0,0,0,0,0,35,0,0
"Otu02375",0,0,48,0,1,0,0,0,0,0
"Otu02376",0,0,0,0,15,0,0,0,0,0
"Otu02378",0,0,0,14,0,0,0,0,0,0
"Otu02379",0,0,0,0,0,0,0,0,0,0
"Otu02380",0,0,0,0,1,0,0,2,0,0
"Otu02383",0,0,0,0,0,0,0,0,0,0
"Otu02384",0,0,0,0,0,0,0,10,0,0
"Otu02385",0,0,34,0,0,0,0,12,0,0
"Otu02386",0,0,0,0,0,0,15,0,0,0
"Otu02388",0,0,0,0,0,0,0,2,0,0
"Otu02389",0,0,0,2,0,0,0,0,0,0
"Otu02390",0,0,0,6,0,0,0,10,0,0
"Otu02391",0,0,0,2,0,0,0,3,0,0
"Otu02392",0,0,0,0,0,0,2,0,0,0
"Otu02393",0,0,0,0,0,0,0,0,0,0
"Otu02397",0,0,0,0,0,0,0,0,0,0
"Otu02398",0,0,0,0,0,0,1,0,0,0
"Otu02399",0,0,0,0,0,0,0,0,0,0
"Otu02400",0,0,1,0,0,0,2,1,0,0
"Otu02401",0,0,0,0,0,0,0,0,0,0
"Otu02402",0,0,0,0,0,0,0,30,0,0
"Otu02404",0,0,0,0,0,0,16,0,0,0
"Otu02406",0,0,0,0,0,0,0,0,0,0
"Otu02407",0,0,6,0,0,0,0,4,0,8
"Otu02408",0,0,0,0,3,0,0,1,0,4
"Otu02409",0,0,0,0,0,0,0,0,0,0
"Otu02410",0,0,0,0,0,0,0,0,0,0
"Otu02411",0,0,0,0,0,0,0,0,0,0
"Otu02412",0,0,0,0,0,0,0,0,0,0
"Otu02413",0,7,0,0,0,0,0,0,0,0
"Otu02415",0,0,0,0,0,0,0,0,0,0
"Otu02416",0,0,0,3,0,0,24,0,0,0
"Otu02417",0,0,0,0,0,0,0,0,0,0
"Otu02423",0,0,0,0,0,0,25,0,0,0
"Otu02424",0,0,0,0,0,0,0,0,0,0
"Otu02426",0,0,0,0,1,1,0,0,0,0
"Otu02427",0,4,0,1,0,0,0,0,0,0
"Otu02429",0,0,0,0,0,0,0,0,0,0
"Otu02430",4,0,0,0,0,0,0,0,0,3
"Otu02431",0,0,0,0,0,0,0,0,0,0
"Otu02432",0,0,0,0,10,0,0,0,0,0
"Otu02433",0,0,0,0,0,0,0,2,0,0
"Otu02435",0,0,0,2,0,0,0,10,0,0
"Otu02436",0,0,0,0,0,0,1,11,0,0
"Otu02437",0,0,0,0,0,0,0,0,0,0
"Otu02438",14,0,0,0,0,0,0,2,0,0
"Otu02439",0,4,0,0,0,0,4,0,0,0
"Otu02440",0,0,0,0,0,0,0,0,0,0
"Otu02441",0,0,0,0,0,0,6,13,0,0
"Otu02442",0,0,0,0,0,0,0,0,0,0
"Otu02443",0,2,0,0,0,0,0,0,0,0
"Otu02444",1,0,0,0,24,0,0,0,0,0
"Otu02447",0,0,0,0,0,0,0,0,0,0
"Otu02448",0,0,0,0,0,0,0,0,0,0
"Otu02449",0,0,4,0,0,0,0,0,0,0
"Otu02450",0,0,0,22,0,0,0,0,0,0
"Otu02451",0,0,0,0,0,0,0,0,0,0
"Otu02452",0,0,0,0,0,0,0,0,0,0
"Otu02453",23,0,0,0,0,0,0,3,0,0
"Otu02454",0,0,0,3,0,0,0,0,0,0
"Otu02455",0,0,0,12,0,0,0,0,0,0
"Otu02456",0,0,0,0,18,0,10,0,0,0
"Otu02457",0,0,0,0,0,0,0,0,0,0
"Otu02458",0,0,0,0,0,0,0,13,0,0
"Otu02459",0,0,0,0,0,0,0,0,0,0
"Otu02460",0,0,0,0,18,0,0,0,0,0
"Otu02461",0,0,0,2,0,0,0,0,0,0
"Otu02462",0,0,0,0,0,0,0,0,0,0
"Otu02464",0,0,0,0,0,0,0,0,0,0
"Otu02465",0,0,0,0,0,0,0,0,0,0
"Otu02466",0,0,0,0,0,0,0,0,0,0
"Otu02467",0,0,0,0,0,0,0,3,0,0
"Otu02469",0,0,0,0,0,0,1,0,0,0
"Otu02470",0,0,0,0,0,0,0,0,10,0
"Otu02471",0,0,0,0,0,0,2,0,0,0
"Otu02472",0,0,0,9,0,0,0,17,0,0
"Otu02473",0,0,7,0,0,0,0,0,0,0
"Otu02474",0,0,10,1,0,0,0,0,0,0
"Otu02475",0,0,0,0,0,0,0,0,0,0
"Otu02476",0,2,0,0,0,0,7,0,0,0
"Otu02478",0,0,0,0,0,0,0,0,0,0
"Otu02480",0,0,0,0,0,0,0,0,0,0
"Otu02481",0,0,0,0,0,0,0,0,0,0
"Otu02482",0,0,0,0,0,0,0,0,0,0
"Otu02483",0,0,0,0,0,0,0,0,0,0
"Otu02484",0,0,0,0,0,0,0,0,0,0
"Otu02485",0,0,0,0,0,0,0,0,0,0
"Otu02486",0,0,0,0,0,0,0,0,0,0
"Otu02487",0,0,0,0,0,0,0,0,0,0
"Otu02489",0,0,0,0,0,13,0,0,0,0
"Otu02490",0,0,0,0,0,0,0,0,0,0
"Otu02491",0,0,0,5,0,0,0,2,0,0
"Otu02492",0,0,0,4,0,0,0,0,0,0
"Otu02495",0,0,0,0,0,0,2,2,0,0
"Otu02496",0,0,0,9,0,0,0,16,0,0
"Otu02498",0,0,0,17,0,0,0,0,0,0
"Otu02499",0,0,0,0,0,0,0,9,0,0
"Otu02500",0,0,0,0,0,0,12,0,0,0
"Otu02501",0,0,0,0,0,0,0,0,0,0
"Otu02502",0,0,0,0,0,0,0,0,0,0
"Otu02503",0,0,0,0,0,0,0,0,16,0
"Otu02504",0,0,0,0,0,0,0,1,0,0
"Otu02507",0,0,0,0,0,0,0,0,0,0
"Otu02508",0,0,0,0,0,0,3,0,0,2
"Otu02509",0,0,0,0,0,0,0,0,0,0
"Otu02510",0,7,0,2,0,0,0,0,0,0
"Otu02511",0,0,0,0,0,0,0,0,0,0
"Otu02512",0,0,0,0,0,0,0,13,0,0
"Otu02513",9,0,0,0,1,0,0,5,0,0
"Otu02514",0,0,0,0,0,0,0,0,0,0
"Otu02515",0,0,0,0,0,0,0,2,0,0
"Otu02517",0,0,0,0,0,0,0,0,0,0
"Otu02519",0,0,1,0,5,0,0,2,0,0
"Otu02520",0,0,0,0,0,0,0,0,0,0
"Otu02521",0,0,0,0,0,0,0,0,0,0
"Otu02522",0,0,0,1,0,0,0,0,0,1
"Otu02524",0,0,0,0,0,0,0,0,0,0
"Otu02525",0,0,0,0,0,0,0,1,0,0
"Otu02526",0,0,0,0,0,0,0,0,0,0
"Otu02527",0,0,0,0,0,0,0,3,0,0
"Otu02529",0,0,0,0,0,0,0,0,0,0
"Otu02531",0,0,0,1,1,0,0,7,0,0
"Otu02532",0,0,11,22,0,0,0,0,0,0
"Otu02533",0,0,0,0,0,0,0,0,0,0
"Otu02535",0,0,0,0,0,0,0,0,0,0
"Otu02536",3,0,0,0,2,0,0,0,0,0
"Otu02538",0,0,0,0,11,0,8,0,0,0
"Otu02539",0,0,0,0,0,0,0,0,0,0
"Otu02540",0,0,0,0,1,0,11,10,0,0
"Otu02541",0,0,0,0,0,0,0,0,0,0
"Otu02543",0,0,0,0,0,0,0,0,0,0
"Otu02546",0,0,0,0,0,0,0,0,0,0
"Otu02547",0,0,0,0,0,0,0,0,0,0
"Otu02548",0,0,0,0,0,0,0,2,0,0
"Otu02549",0,0,0,0,0,0,1,4,0,0
"Otu02550",0,0,0,0,0,0,0,1,0,0
"Otu02551",0,0,0,0,0,0,0,0,0,0
"Otu02553",0,0,0,0,0,0,0,4,0,0
"Otu02554",0,0,0,0,0,0,23,0,0,0
"Otu02555",0,0,0,2,0,0,0,0,0,0
"Otu02558",0,0,0,0,0,0,1,1,0,0
"Otu02559",0,0,0,0,0,0,0,0,0,0
"Otu02560",0,0,0,0,0,0,0,0,17,0
"Otu02561",0,0,0,0,0,0,1,0,0,0
"Otu02562",0,0,0,0,0,0,0,0,0,0
"Otu02563",0,0,0,0,0,0,0,0,0,0
"Otu02564",0,0,0,4,1,0,0,0,0,0
"Otu02565",0,0,0,5,0,0,0,0,0,0
"Otu02566",0,0,0,0,0,0,0,0,0,0
"Otu02567",0,0,0,0,0,0,1,0,0,0
"Otu02568",0,0,0,0,0,0,0,0,1,0
"Otu02572",0,0,0,0,0,0,0,0,0,0
"Otu02573",0,0,0,0,0,0,0,0,0,0
"Otu02575",0,0,0,0,0,0,0,0,0,0
"Otu02577",0,0,0,0,0,0,0,0,17,0
"Otu02578",0,0,0,0,0,0,4,0,0,0
"Otu02579",0,0,0,0,0,0,0,32,0,0
"Otu02580",0,0,0,1,0,0,0,0,0,0
"Otu02583",0,0,0,0,0,0,0,0,0,0
"Otu02584",0,0,0,0,0,0,0,14,0,0
"Otu02586",0,0,0,0,1,0,0,0,0,0
"Otu02588",0,0,0,0,0,0,0,3,0,0
"Otu02589",0,0,0,0,0,0,0,0,14,0
"Otu02592",0,0,0,0,0,0,0,0,0,0
"Otu02593",0,0,0,0,0,0,0,26,0,0
"Otu02595",0,0,0,0,0,0,0,0,0,8
"Otu02596",0,0,0,0,0,0,0,0,0,0
"Otu02597",0,0,0,6,0,0,0,12,0,0
"Otu02598",0,0,0,0,0,0,2,0,0,0
"Otu02599",0,6,0,0,0,0,0,0,0,0
"Otu02600",0,0,0,0,0,0,0,0,0,0
"Otu02601",0,0,0,0,0,0,0,0,0,0
"Otu02602",0,3,0,0,1,0,0,0,0,0
"Otu02603",0,2,0,0,5,0,0,0,0,0
"Otu02604",0,0,0,0,0,0,0,0,0,0
"Otu02605",0,0,0,0,0,0,0,0,0,0
"Otu02606",7,0,0,0,2,13,1,0,0,6
"Otu02607",0,0,15,0,0,7,0,0,0,0
"Otu02609",0,0,0,0,0,0,0,2,0,0
"Otu02610",0,0,0,0,0,0,0,0,0,0
"Otu02611",0,0,0,0,0,0,2,0,3,0
"Otu02612",0,0,0,0,0,0,0,0,0,0
"Otu02613",0,0,0,0,0,0,0,0,0,0
"Otu02617",0,0,0,4,0,0,0,0,0,0
"Otu02618",0,0,0,0,2,0,0,0,0,0
"Otu02620",0,0,0,1,0,0,0,0,0,0
"Otu02621",0,0,0,2,0,0,0,0,0,0
"Otu02622",0,0,4,0,0,0,0,0,0,0
"Otu02623",0,0,0,0,0,0,0,0,0,0
"Otu02625",0,0,0,0,0,0,0,1,0,0
"Otu02626",0,0,7,0,0,0,0,0,0,0
"Otu02627",0,0,0,8,0,0,0,0,0,0
"Otu02628",5,0,7,0,1,0,0,0,0,0
"Otu02629",4,0,0,0,0,0,0,0,0,2
"Otu02631",0,0,0,0,0,0,0,5,0,0
"Otu02634",0,0,0,2,0,0,0,0,0,20
"Otu02635",0,0,0,0,0,0,0,7,0,0
"Otu02637",0,0,0,9,0,0,0,22,0,0
"Otu02638",0,0,0,0,0,0,0,0,0,0
"Otu02640",0,0,0,0,0,0,0,31,0,0
"Otu02641",3,0,0,11,0,0,0,0,0,0
"Otu02642",0,0,0,0,0,0,0,8,0,0
"Otu02643",0,0,0,0,0,0,0,0,0,0
"Otu02644",0,0,2,2,0,0,0,0,0,0
"Otu02645",0,0,0,0,0,0,0,0,0,0
"Otu02646",0,4,0,0,0,0,0,0,0,0
"Otu02647",0,0,0,0,0,0,0,0,0,0
"Otu02648",0,0,0,0,0,0,0,0,0,0
"Otu02649",0,0,0,1,0,0,6,0,0,0
"Otu02650",0,0,0,0,0,0,0,2,0,0
"Otu02651",0,0,0,0,0,0,0,0,0,0
"Otu02652",0,0,0,0,0,0,0,0,0,0
"Otu02654",0,0,0,0,0,0,5,0,0,0
"Otu02656",1,0,0,0,0,0,0,1,0,0
"Otu02657",0,0,0,0,0,0,0,0,0,0
"Otu02658",0,0,0,0,0,0,23,0,0,0
"Otu02659",0,0,0,0,0,0,0,0,0,0
"Otu02662",0,0,6,0,0,0,0,0,0,0
"Otu02663",0,0,0,0,2,0,0,0,0,0
"Otu02665",0,0,0,0,0,0,0,0,0,0
"Otu02666",0,0,0,0,3,0,1,0,0,0
"Otu02667",0,0,0,0,0,0,0,14,0,0
"Otu02669",0,0,0,4,0,0,0,16,0,0
"Otu02670",0,0,0,0,0,0,0,0,0,0
"Otu02672",0,0,0,0,0,0,0,0,0,0
"Otu02673",0,0,3,0,0,0,0,0,0,0
"Otu02676",0,0,0,0,0,0,0,5,0,0
"Otu02678",0,0,0,0,0,0,0,0,0,0
"Otu02679",0,0,0,0,0,0,0,12,0,0
"Otu02680",1,0,0,0,2,0,0,0,0,1
"Otu02682",0,0,0,0,0,0,0,3,0,0
"Otu02683",12,2,0,4,0,0,0,0,0,0
"Otu02684",0,0,0,0,0,0,0,0,0,2
"Otu02685",0,0,0,0,0,0,0,0,0,0
"Otu02686",0,0,0,0,0,0,0,24,0,0
"Otu02688",0,0,0,0,0,0,0,0,0,0
"Otu02689",0,0,0,0,0,0,0,1,0,0
"Otu02691",0,0,7,0,0,32,0,0,0,1
"Otu02692",0,0,0,0,0,0,0,0,0,0
"Otu02695",0,0,0,0,0,0,5,0,0,0
"Otu02696",0,0,20,8,0,0,0,0,0,0
"Otu02697",0,0,0,2,0,0,0,0,0,0
"Otu02698",0,0,0,0,0,0,0,0,0,0
"Otu02701",0,0,0,0,0,0,0,0,0,0
"Otu02703",0,0,0,0,0,0,0,0,0,0
"Otu02705",0,0,0,0,0,0,0,0,0,0
"Otu02706",0,0,0,7,0,0,0,28,0,0
"Otu02707",0,0,0,0,0,0,0,10,0,0
"Otu02708",0,0,0,0,0,0,0,4,0,0
"Otu02710",0,0,0,3,0,0,2,0,6,0
"Otu02711",0,0,0,0,0,0,0,0,0,0
"Otu02712",0,0,0,0,19,0,0,4,0,0
"Otu02713",0,0,0,0,0,0,0,37,0,0
"Otu02714",0,0,0,0,0,0,0,0,0,0
"Otu02720",0,0,0,0,0,0,0,0,0,0
"Otu02721",0,0,0,0,0,0,0,17,0,0
"Otu02722",0,0,9,18,0,0,0,0,0,0
"Otu02723",0,0,0,0,0,0,0,0,0,0
"Otu02724",1,1,0,0,10,0,0,0,0,0
"Otu02725",0,0,0,0,0,0,0,0,0,0
"Otu02729",0,0,0,0,0,0,0,6,0,0
"Otu02731",0,0,0,0,0,0,34,0,0,0
"Otu02732",0,0,0,0,0,0,0,0,0,0
"Otu02738",0,0,0,0,0,0,0,0,0,0
"Otu02739",0,0,0,0,0,0,0,0,0,0
"Otu02740",0,0,0,0,0,0,0,0,0,0
"Otu02742",0,0,0,0,0,0,0,3,0,0
"Otu02743",0,0,0,7,0,0,0,0,0,0
"Otu02744",0,0,0,0,0,0,0,4,0,0
"Otu02745",0,0,0,0,0,0,0,0,0,0
"Otu02746",0,0,0,0,0,0,0,0,0,0
"Otu02747",0,0,5,0,0,0,0,0,0,0
"Otu02748",0,0,0,0,0,0,0,0,0,0
"Otu02750",0,0,0,0,0,0,0,0,0,27
"Otu02751",0,0,0,0,0,0,10,0,0,0
"Otu02752",0,0,0,0,3,0,0,0,0,0
"Otu02753",0,0,0,0,0,0,0,0,0,0
"Otu02754",0,0,0,0,0,0,0,0,0,0
"Otu02755",0,0,0,0,0,0,0,0,0,0
"Otu02756",0,0,0,20,0,0,0,0,0,0
"Otu02757",0,0,0,0,0,0,0,0,0,0
"Otu02758",0,0,37,0,0,0,0,0,0,0
"Otu02760",0,2,0,0,0,0,0,0,0,0
"Otu02761",0,0,0,0,0,0,0,0,0,0
"Otu02762",0,1,0,0,1,0,0,2,0,0
"Otu02766",0,0,0,0,0,0,0,0,0,0
"Otu02767",0,0,0,0,0,0,0,1,0,0
"Otu02768",9,2,0,0,0,0,0,0,0,11
"Otu02769",0,0,0,0,0,0,0,0,0,2
"Otu02770",0,0,0,0,0,0,0,0,0,0
"Otu02771",0,0,0,0,0,0,0,0,0,0
"Otu02772",0,0,0,0,1,0,0,0,0,0
"Otu02773",0,0,0,0,0,0,0,0,0,0
"Otu02774",0,0,0,0,0,0,0,0,0,0
"Otu02775",0,0,0,0,6,0,0,3,0,0
"Otu02776",0,0,0,0,0,0,0,4,0,0
"Otu02777",0,0,0,0,2,0,0,0,0,0
"Otu02778",0,0,0,0,0,0,0,27,0,0
"Otu02779",0,0,0,0,0,0,0,2,0,0
"Otu02780",0,0,0,0,0,0,0,0,0,0
"Otu02785",0,0,0,0,0,0,1,2,0,0
"Otu02787",0,8,0,0,0,0,0,0,0,0
"Otu02788",0,0,0,1,0,0,0,1,0,0
"Otu02789",0,0,0,0,0,0,0,0,0,0
"Otu02790",0,0,0,0,0,0,0,1,0,0
"Otu02791",0,0,0,0,0,0,0,2,0,0
"Otu02792",21,1,0,0,0,0,0,0,0,0
"Otu02793",0,0,0,0,7,0,0,0,0,0
"Otu02794",0,0,0,0,0,0,0,0,0,0
"Otu02796",0,0,0,0,0,0,0,0,0,0
"Otu02797",0,0,0,17,0,1,0,0,0,3
"Otu02798",0,0,5,0,0,24,0,0,0,0
"Otu02799",0,0,0,0,0,0,0,9,0,0
"Otu02800",0,0,0,0,0,0,0,0,0,1
"Otu02801",0,0,0,0,0,0,0,0,0,0
"Otu02802",0,0,0,0,0,0,0,0,0,0
"Otu02803",0,0,0,0,2,0,0,0,0,0
"Otu02804",0,0,0,0,25,0,0,0,0,0
"Otu02805",0,0,0,0,0,0,0,0,0,0
"Otu02806",0,0,0,0,0,0,0,0,0,5
"Otu02808",0,0,0,0,1,0,0,0,0,0
"Otu02810",0,0,0,0,0,0,0,0,0,0
"Otu02812",0,0,0,0,0,0,0,0,0,0
"Otu02813",0,0,0,0,2,0,0,0,0,0
"Otu02814",0,0,1,0,0,0,0,2,0,0
"Otu02815",0,0,0,0,0,0,0,28,0,0
"Otu02817",0,0,0,2,6,0,4,0,0,0
"Otu02818",0,0,0,0,0,0,0,3,0,0
"Otu02820",0,0,34,5,0,0,0,0,0,0
"Otu02821",0,0,0,0,0,0,0,0,0,0
"Otu02822",0,0,0,0,0,0,0,0,0,0
"Otu02825",0,0,1,0,1,3,0,0,0,0
"Otu02826",0,0,25,0,0,0,0,0,0,0
"Otu02827",0,0,0,0,0,0,0,0,0,0
"Otu02828",0,0,0,0,0,0,0,10,0,0
"Otu02829",0,0,0,0,0,0,0,7,0,0
"Otu02830",0,0,0,0,0,0,0,3,0,0
"Otu02831",0,0,0,0,0,0,0,0,0,0
"Otu02832",0,0,0,0,0,0,4,0,0,0
"Otu02833",0,0,0,0,0,0,0,0,0,0
"Otu02834",0,0,0,0,0,0,0,0,0,0
"Otu02835",0,0,0,1,0,0,1,0,0,0
"Otu02836",0,0,0,0,0,0,0,0,0,0
"Otu02837",0,0,23,3,0,0,0,0,0,0
"Otu02838",0,0,0,0,0,0,0,0,0,0
"Otu02839",0,0,0,0,0,0,0,1,0,0
"Otu02840",0,0,0,0,0,0,0,0,0,0
"Otu02841",0,0,0,0,0,0,0,3,0,0
"Otu02843",0,0,2,0,0,0,0,0,0,0
"Otu02845",0,0,18,4,0,0,0,0,0,0
"Otu02847",0,0,0,0,0,0,0,0,0,0
"Otu02848",0,0,0,0,0,0,0,0,0,0
"Otu02849",0,0,0,0,0,0,0,10,0,0
"Otu02850",0,0,0,0,0,0,0,3,0,0
"Otu02851",1,0,0,0,0,0,0,0,0,1
"Otu02852",0,0,0,0,0,0,5,0,0,1
"Otu02853",0,0,0,0,6,0,0,0,0,2
"Otu02854",0,15,0,0,5,0,0,0,0,0
"Otu02855",0,0,0,0,0,0,0,30,0,0
"Otu02856",0,0,0,0,0,0,0,0,4,0
"Otu02857",0,0,0,7,0,0,7,0,0,0
"Otu02858",0,0,0,0,0,0,0,0,0,0
"Otu02859",0,0,0,0,0,0,0,19,0,0
"Otu02860",0,0,0,5,0,0,0,0,0,0
"Otu02862",0,0,0,0,0,0,0,0,10,0
"Otu02863",0,0,0,0,0,0,0,6,0,0
"Otu02864",0,0,0,0,0,0,0,0,0,0
"Otu02865",9,0,0,0,0,0,0,0,0,0
"Otu02866",12,0,0,6,0,0,0,0,0,0
"Otu02867",0,0,2,16,0,0,0,0,0,0
"Otu02868",0,20,0,0,0,0,0,0,0,0
"Otu02869",0,0,18,0,0,0,0,0,0,0
"Otu02871",36,0,0,0,6,0,0,0,0,0
"Otu02872",0,0,0,0,0,0,0,0,0,0
"Otu02873",0,0,0,10,0,0,0,0,0,1
"Otu02874",0,0,0,2,0,0,1,0,0,0
"Otu02875",0,0,0,0,0,2,0,0,0,0
"Otu02876",0,0,0,0,0,0,0,0,0,0
"Otu02877",0,0,0,0,0,0,0,0,22,0
"Otu02878",5,18,0,0,0,0,0,0,0,0
"Otu02879",0,0,0,0,23,0,0,0,0,0
"Otu02880",0,0,0,0,0,0,0,0,0,0
"Otu02881",0,0,0,0,0,0,0,0,0,0
"Otu02882",0,0,0,0,7,0,0,0,0,0
"Otu02883",0,4,0,0,0,0,0,3,0,0
"Otu02885",0,0,0,3,0,0,5,0,0,0
"Otu02886",0,0,0,0,0,0,0,0,0,0
"Otu02887",0,0,0,0,0,0,0,0,0,3
"Otu02888",0,0,0,0,0,0,0,0,0,0
"Otu02889",7,2,0,0,0,0,0,0,0,0
"Otu02890",11,0,1,0,0,0,0,0,0,6
"Otu02892",0,0,0,0,0,0,0,0,0,0
"Otu02894",2,0,0,0,1,0,0,0,0,0
"Otu02895",0,0,0,0,0,0,0,0,0,0
"Otu02896",0,0,0,0,0,0,0,34,0,0
"Otu02897",0,0,0,0,0,0,5,0,0,0
"Otu02898",0,14,0,7,0,0,0,0,0,1
"Otu02899",0,0,0,0,0,0,3,12,0,0
"Otu02900",0,0,0,0,0,0,0,0,0,0
"Otu02901",0,0,0,0,0,0,0,0,0,0
"Otu02902",0,0,0,0,0,0,0,8,0,0
"Otu02903",0,3,0,0,0,0,0,0,0,4
"Otu02905",0,0,6,0,0,0,18,0,0,0
"Otu02907",0,0,0,0,0,0,0,0,0,0
"Otu02908",0,0,1,0,0,0,0,0,0,0
