cat,env_variable,replicate,r_squared,r_squared_orig,Ct <5 Unique Values
Glacier National Park,Na,1,0.208665212,0.208665212,21
Glacier National Park,Na,2,0.222546392,0.222546392,18
Glacier National Park,Na,3,0.116120842,0.116120842,15
Glacier National Park,Sr,1,0.066576318,0.066576318,33
Glacier National Park,Sr,2,0.024364033,0.024364033,15
Glacier National Park,Sr,3,0.01665393,0.01665393,21
Glacier National Park,SO4,1,0.123511663,0.123511663,9
Glacier National Park,SO4,2,0.154588548,0.154588548,9
Glacier National Park,SO4,3,0.047622904,0.047622904,
Glacier National Park,TDS,1,0.379090979,0.379090979,
Glacier National Park,TDS,2,0.356085633,0.356085633,18
Glacier National Park,TDS,3,0.38799073,0.38799073,3
Glacier National Park,fi,1,0.215936849,0.215936849,15
Glacier National Park,fi,2,0.2610486,0.2610486,6
Glacier National Park,fi,3,0.16269106,0.16269106,12
