alt_sample_name,sample_name,date,SampleID_16S,SampleID_18S,bio_rep,location,sample_type,latitude,longitude,elevation_m,ysi_temp,ysi_do,ysi_spc,ysi_ph,ysi_orp,alkalinity_caco3,bicarbonate_hco3,calcium,chloride,magnesium,potassium,sio2,sodium,strontium,sulfate,tds,dist_from_summit,fi_Best,quadrant,quadrant_ew,region
Rubideau Spring,Rubideau Spring,8/12/17,JM1713_Rubideau,JM1713_Rubideau,0,GNP,Spring,48.50947611,-114.0241443,1182.62,5.6,11.73,209.2,7.43,226,117,143,29.4,0.087,8.94,0.18,5.53,0.83,0.04,2.12,119,,0.66,,,Outlier
Packer's Roost,Packers Roost Spring,8/7/17,JM1721_Packers_Roost,,0,GNP,Spring,48.74932606,-113.7935068,1142.09,5.1,10.81,165.1,7.41,120.2,88,107,26.6,0.073,3.76,0.16,3.34,0.81,0.02,4.21,93,,0.58,,,Packers Roost Region
Lunch Creek Spring 1,Lunch Creek Spring,8/12/17,JM1714_Lunch_Creek,JM1714_Lunch_Creek,1,GNP,Spring,48.69880031,-113.7051857,1933.65,5.5,10.15,138,7.36,248.7,77,94,23.4,0.051,3.06,0.08,2.49,0.22,0.013,0.798,78,,0.93,,,Piegan Region
Lunch Creek Spring 2,Lunch Creek Spring,8/12/17,JM1773_Lunch_Creek,JM1773_Lunch_Creek,2,GNP,Spring,48.69880031,-113.7051857,1933.65,5.5,10.15,138,7.36,248.7,77,94,23.4,0.051,3.06,0.08,2.49,0.22,0.013,0.798,78,,0.93,,,Piegan Region
Weeping Wall,Weeping Wall Spring,8/9/17,JM179_Weeping_Wall,JM179_Weeping_Wall,1,GNP,Spring,48.72822939,-113.7292596,1853.49,4,10.55,135.6,7.58,263.1,74,90,22.4,0.101,3.31,0.11,2.01,0.43,0.013,2.12,76,,0.71,,,Haystack Butte Region
Warm Spring 1,JM-WS1,9/15/19,MtH20_D07_S280,MtH20_E05,0,MH,Spring,45.29596599,-121.7395742,1164.6408,23.5,1.52,683,7.45,224.6,120,147,38.7,76.3,30.8,7.41,88.5,74.4,0.249,165,555,9279.6,0.69,SW,West,Warm Springs
Weeping Wall,Weeping Wall Spring,8/9/17,JM1757_Weeping_Wall,,2,GNP,Spring,48.72822939,-113.7292596,1853.49,4,10.55,135.6,7.58,263.1,74,90,22.4,0.101,3.31,0.11,2.01,0.43,0.013,2.12,76,,0.71,,,Haystack Butte Region
Hello Bear Spring,Hello Bear Spring,8/10/17,JM1729_Hello_Bear,,1,GNP,Spring,48.75165293,-113.8073377,1156.11,7.2,4.57,123.9,7.04,227.7,64,78,17.9,0.058,3.8,0.2,5.32,0.68,0.018,2.66,70,,0.55,,,Packers Roost Region
Hello Bear Spring,Hello Bear Spring,8/10/17,JM1746_Hello_Bear,,2,GNP,Spring,48.75165293,-113.8073377,1156.11,7.2,4.57,123.9,7.04,227.7,64,78,17.9,0.058,3.8,0.2,5.32,0.68,0.018,2.66,70,,0.55,,,Packers Roost Region
McDonald Creek #1,McDonald Creek #1,8/10/17,JM1741_McDonald_Creek_1,JM1741_McDonald_Creek_1,0,GNP,Stream,48.75376866,-113.8256756,1146.35,15.2,8.22,115.2,7.75,185.5,63,76,16.2,0.065,4.34,0.18,3.66,0.51,0.037,2.17,66,,0.79,,,Stream
Mineral Creek Trib 1,Mineral Creek Tributary,8/10/17,JM1715_Mineral_Creek_Spring,JM1715_Mineral_Creek_Spring,1,GNP,Stream,48.75358464,-113.8254748,1143.91,17.1,8.28,112.5,7.79,148.3,58,71,15.6,0.065,4.09,0.18,3.08,0.65,0.027,4.21,64,,0.76,,,Stream
Mineral Creek Trib 2,Mineral Creek Tributary,8/10/17,JM1747_Mineral_Creek_Trib,,2,GNP,Stream,48.75358464,-113.8254748,1143.91,17.1,8.28,112.5,7.79,148.3,58,71,15.6,0.065,4.09,0.18,3.08,0.65,0.027,4.21,64,,0.76,,,Stream
Funky Spring,Gould Spring,8/9/17,JM1736_Funky_Spring,,0,GNP,Spring,48.73812618,-113.7269936,2151.58,2.5,10.83,106.2,7.81,138,58,70,17.4,0.063,2.66,0.07,1.7,0.19,0.01,1.24,59,,0.54,,,Haystack Butte Region
Avalanche Spring,Avalanche Spring,8/12/17,JM1723_Avalanche_Spring,,0,GNP,Spring,48.67652814,-113.8104943,1107.64,7.6,8.31,103.3,7.63,152.8,56,68,14.2,0.067,3.98,0.14,2.9,0.34,0.034,1.2,57,,0.56,,,Outlier
Crack Spring 1,Grinnell Spring,8/8/17,JM1730_Crack_Spring,JM1730_Crack_Spring,1,GNP,Spring,48.77017057,-113.7161256,1844.04,3.9,10.27,68.4,7.63,184.4,39,47,8.72,0.043,3.14,0.11,1.72,0.33,0.034,1.17,39,,0.71,,,Grinnell Region
Crack Spring 2,Grinnell Spring,8/8/17,JM1774_Crack_Spring,JM1774_Crack_Spring,2,GNP,Spring,48.77017057,-113.7161256,1844.04,3.9,10.27,68.4,7.63,184.4,39,47,8.72,0.043,3.14,0.11,1.72,0.33,0.034,1.17,39,,0.71,,,Grinnell Region
Sand Canyon Trib 1,Sand Canyon Trib 1,7/19/18,,,,MH,Spring,45.31767531,-121.7549647,1272.54,5,8.67,35.5,7.05,153.8,,,,,,,,,,,,7745.1,0.38,SW,West,Palmer Region
Mountain Goat Spring,Mountain Goat Spring,7/26/18,,,,GNP,Spring,48.70084077,-113.6910636,2268.32,0.4,11.8,11.5,7.69,173,,,,,,,,,,,,,0.83,,,Piegan Region
Grinnell Lake 1,Grinnell Lake,8/8/17,JM1712_Grinnell_Lake,JM1712_Grinnell_Lake,1,GNP,Glacial Melt,48.75308643,-113.7251912,1961.69,1.8,8.99,61.9,8.28,153.6,32,40,8.82,0.055,1.89,0.09,0.84,0.16,0.006,1.52,34,,0.58,,,Glacial Melt
Grinnell Lake 2,Grinnell Lake,8/8/17,JM1742_Grinnell_Lake,JM1742_Grinnell_Lake,2,GNP,Glacial Melt,48.75308643,-113.7251912,1961.69,1.8,8.99,61.9,8.28,153.6,32,40,8.82,0.055,1.89,0.09,0.84,0.16,0.006,1.52,34,,0.58,,,Glacial Melt
Funky Spring,Gould Spring,7/28/18,,,,GNP,Spring,48.73812618,-113.7269936,2151.58,2.1,11.55,5.8,6.41,84.97,,,,,,,,,,,,,0.57,,,Haystack Butte Region
Warm Spring 2,JM-WS2,9/15/19,MtH9_C07_S316,MtH9_D06,0,MH,Spring,45.29658328,-121.7400452,1185.672,18.2,3.09,463.1,7.51,203.5,85,104,21.2,32,16.4,4.47,72.4,45.2,0.143,96.8,341,9229.6,0.7,SW,West,Warm Springs
Big Bend,Big Bend Seep,8/9/17,,,,GNP,Seep,48.73119827,-113.7197638,2050.69,,,,,,79,96,24.8,0.164,3.1,0.24,4.37,0.42,0.016,1.59,83,,0.12,,,Haystack Butte Region
Still Creek Spring,Still Creek Spring,7/27/17,JM1767_Sandy_Creek_Trib,JM1767_Sandy_Creek_Trib.,0,MH,Spring,45.31868193,-121.7230327,1529.49,3,11.06,78.7,5.77,265.4,20,24,5.1,10.2,1.11,1.57,28.2,5.59,0.041,1.57,65,6460.7,0.21,SW,West,Palmer Region
Camp Creek Spring,Camp Creek Spring,7/27/17,JM1733_Camp_Creek,JM1733_Camp_Creek,0,MH,Spring,45.31425513,-121.7377782,1369.47,2.9,11.22,60.6,6.53,196.2,18,22,4.79,8.97,0.84,1.02,35.7,5.08,0.032,1.79,69,7363.5,0.39,SW,West,Palmer Region
Grinnell Lake 3,Grinnell Lake,8/8/17,JM1748_Grinnell_Lake,JM1748_Grinnell_Lake,3,GNP,Glacial Melt,48.75308643,-113.7251912,1961.69,1.8,8.99,61.9,8.28,153.6,32,40,8.82,0.055,1.89,0.09,0.84,0.16,0.006,1.52,34,,0.58,,,Glacial Melt
Hidden Pass Seep 2,Hidden Pass Seep 2,8/6/17,JM176_Hidden_Pass_Seep_2,JM176_Hidden_Pass_Seep_2,0,GNP,Spring,48.6880162,-113.7366239,2166.52,5.2,7.78,48.8,8.14,114.6,18,23,3.77,0.056,1.59,0.11,2.36,0.23,0.008,1.39,21,,0.51,,,Clements/Reynolds Region
Piegan North Spring 1,Piegan North Spring,8/11/17,JM177_Piegan_North,JM177_Piegan_North,1,GNP,Spring,48.71661358,-113.6941217,2389.02,2.1,10.59,23.3,7.73,149.1,26,31,6.03,0.052,1.54,0.13,2.8,0.3,0.008,0.597,27,,0.61,,,Piegan Region
Piegan North Spring 2,Piegan North Spring,8/11/17,JM1782_Piegan_North,,2,GNP,Spring,48.71661358,-113.6941217,2389.02,2.1,10.59,23.3,7.73,149.1,26,31,6.03,0.052,1.54,0.13,2.8,0.3,0.008,0.597,27,,0.61,,,Piegan Region
Reynolds 2 Spring,Reynolds 2 Spring,8/6/17,JM1754_Reynolds_2,,0,GNP,Spring,48.681946,-113.7327076,2183.28,1.4,10.42,22.4,7.52,204.1,13,16,2.47,0.047,1.01,0.12,2,0.28,0.007,1.67,16,,0.6,,,Clements/Reynolds Region
Choss Seep 1,Choss Seep,7/26/17,JM1726_Choss_Seep,JM1726_Choss_Seep,1,MH,Spring,45.29518554,-121.7341202,1178.97,13.4,7.39,53.3,6.56,224.8,14,17,3.84,6.95,1.05,0.57,14.2,3.64,0.047,2.83,42,9212.9,0.32,SW,West,Outlier
Choss Seep 2,Choss Seep,7/26/17,JM1785_Choss_Seep,JM1785_Choss_Seep,2,MH,Spring,45.29518554,-121.7341202,1178.97,13.4,7.39,53.3,6.56,224.8,14,17,3.84,6.95,1.05,0.57,14.2,3.64,0.047,2.83,42,9212.9,0.32,SW,West,Outlier
West Fork Salmon Spring,West Fork Salmon Spring,7/27/17,JM178_W_Fork_Salmon_Spring,JM178_W._Fork_Salmon_Spring,0,MH,Spring,45.31710064,-121.7184752,1536.5,2.9,10.87,52.4,5.82,276,19,23,3.87,4.58,0.71,1.06,25.1,3.74,0.031,0.884,52,6521.6,0.34,SW,West,Palmer Region
Elizabeth Spring 1,Piegan Spring,8/7/17,JM1725_Elizabeth_Spring,,1,GNP,Spring,48.70314771,-113.6939869,2368.3,0.5,10.92,19.4,7.32,189.9,11,13,2.19,0.046,0.82,0.07,0.96,0.19,0.006,1.97,13,,0.99,,,Piegan Region
Palmer Seep 1,Palmer Seep,7/27/17,JM1731_Palmer_Seep,,1,MH,Spring,45.33579912,-121.7067202,1859.89,3.7,10.49,49.7,6.41,223,14,17,2.5,8.14,0.49,0.9,18.9,6.16,0.016,1.54,47,4284.3,0.47,SW,West,Palmer Region
Palmer Seep 2,Palmer Seep,7/27/17,JM1750_Palmer_Seep,,2,MH,Spring,45.33579912,-121.7067202,1859.89,3.7,10.49,49.7,6.41,223,14,17,2.5,8.14,0.49,0.9,18.9,6.16,0.016,1.54,47,4284.3,0.47,SW,West,Palmer Region
Zigzag Spring,Zigzag Spring,7/29/17,JM1727_Zigzag_Spring,JM1727_Zigzag_Spring,0,MH,Spring,45.3457741,-121.7390436,1571.55,3.3,11.29,29.7,6.78,243.6,13,16,1.75,0.72,0.64,0.59,24.6,2.52,0.009,2.36,41,4575.8,0.34,SW,West,Zigzag Region
Elizabeth Spring 2,Piegan Spring,8/7/17,JM1755_Elizabeth_Spring,,2,GNP,Spring,48.70314771,-113.6939869,2368.3,0.5,10.92,19.4,7.32,189.9,11,13,2.19,0.046,0.82,0.07,0.96,0.19,0.006,1.97,13,,0.99,,,Piegan Region
Sandy Canyon Trib,Sandy Canyon Spring,7/27/17,JM1735_Sand_Canyon_Trib,,0,MH,Spring,45.31767531,-121.7549647,1272.54,4.1,8.23,26.9,8.45,161.8,11,13,1.49,0.806,0.21,0.23,16.5,2.15,0.019,1.27,29,7745.1,0.36,SW,West,Palmer Region
Elizabeth Spring 3,Piegan Spring,8/7/17,JM1761_Elizabeth_Spring,,3,GNP,Spring,48.70314771,-113.6939869,2368.3,0.5,10.92,19.4,7.32,189.9,11,13,2.19,0.046,0.82,0.07,0.96,0.19,0.006,1.97,13,,0.99,,,Piegan Region
Mountain Goat Spring 1,Mountain Goat Spring,8/7/17,JM175_Mtn_Goat,JM175_Mtn_Goat,1,GNP,Spring,48.70084077,-113.6910636,2268.32,0.4,11.06,8.1,7.21,151.9,8,10,1.02,0.039,0.25,0.02,0.17,0.03,0.002,0.433,7,,0.84,,,Piegan Region
James Spring 1,James Spring,7/25/17,JM1722_James_Spring,JM1722_James_Spring,1,MH,Spring,45.33993416,-121.9403534,547.73,10.7,9.67,23.9,6.91,221.2,12,14,1.54,1.56,0.34,0.41,14.5,2.11,0.018,0.276,28,19508.7,0.04,SW,West,Outlier
Grinnell Glacier Glacier Ice,Grinnell Glacier Compact Snow,7/27/18,,,,GNP,Snow,48.75277195,-113.7247932,1979.98,,,,,,30,37,6.18,0.04,2.45,0.07,0.33,,0.003,,29,,0.08,,,Snow
Grinnell Glacier Possible Firn,Grinnell Glacier Possible Firn,7/27/18,,,,GNP,Glacial Ice,48.75270905,-113.7247898,1979.98,,,,,,,,,0.39,,,,,,,,,1,,,Glacial Ice
Grinnell Glacier Surface Snow,Grinnell Glacier Surface Snow,7/27/18,,,,GNP,Snow,48.75299722,-113.7251592,1976.93,,,,,,,,,0.04,,,,,,,,,0.25,,,Snow
Grinnell Glacier Surface Snow,Grinnell Glacier Surface Snow,7/27/18,,,,GNP,Snow,48.75299722,-113.7251592,1976.93,,,,,,,,,,,,,,,,,,0.1,,,Snow
Grinnell Ice Core,Grinnell Ice Core,8/8/17,,,,GNP,Glacial Ice,48.7529982,-113.7247374,1924.51,,,,,,5,6,0.47,0.39,0.08,0.11,0.01,0.29,0,0.042,5,,0.94,,,Glacial Ice
Grinnell Red Algae,Grinnell Red Algae,8/8/17,,,,GNP,Snow Algae,48.75361627,-113.7252335,1970.53,,,,,,,,,,,,,,,,,,NA,,,Snow Algae
Grinnell Snow Pack,Grinnell Snow Pack,8/8/17,,,,GNP,Snow,48.75320359,-113.724803,1976.93,,,,,,11,13,1.62,0.157,0.52,0.3,1.32,0.16,0.002,0.025,12,,0.06,,,Snow
James Spring 2,James Spring,7/25/17,JM1766_James_Spring,JM1766_James_Spring,2,MH,Spring,45.33993416,-121.9403534,547.73,10.7,9.67,23.9,6.91,221.2,12,14,1.54,1.56,0.34,0.41,14.5,2.11,0.018,0.276,28,19508.7,0.04,SW,West,Outlier
McDonald Creek #2,McDonald Creek #2,8/10/17,,,,GNP,Stream,48.75337132,-113.8257349,1147.27,,,,,,,,,,,,,,,,,,0.55,,,Stream
Paradise Park Spring 1,Paradise Park Spring,7/29/17,JM1711_Paradise_Park_Spring,JM1711_Paradise_Park_Spring,1,MH,Spring,45.34165555,-121.738599,1582.22,2.8,11.42,19.4,6.46,206.8,10,12,1.11,0.397,0.27,0.41,24.2,1.98,0.006,1.15,36,4872.9,0.3,SW,West,Zigzag Region
Paradise Park Spring 2,Paradise Park Spring,7/29/17,JM1749_Paradise_Park_Spring,,2,MH,Spring,45.34165555,-121.738599,1582.22,2.8,11.42,19.4,6.46,206.8,10,12,1.11,0.397,0.27,0.41,24.2,1.98,0.006,1.15,36,4872.9,0.3,SW,West,Zigzag Region
Paradise Park Spring 3,Paradise Park Spring,7/29/17,JM1778_Paradise_Park_Spring,JM1778_Paradise_Park_Spring,3,MH,Spring,45.34165555,-121.738599,1582.22,2.8,11.42,19.4,6.46,206.8,10,12,1.11,0.397,0.27,0.41,24.2,1.98,0.006,1.15,36,4872.9,0.3,SW,West,Zigzag Region
Palmer Lower Fresh Snow Pack,Palmer Lower Fresh Snow Pack,7/21/18,,,,MH,Snow,45.33373048,-121.7172451,1828.4952,0,,,,,,,,0.5,,,,,,,,4733.5,0.1,SW,West,Snow
Palmer/White River Bottom Snow Core,Palmer/White River Bottom Snow Core,7/22/18,,,,MH,Snow,45.35763491,-121.7010264,2545.6896,0,,,,,,,,,,,,,,,,1817.5,0.18,SW,West,Snow
Piegan Snow Pack,Piegan Snow Pack,7/26/18,,,,GNP,Snow,48.71558735,-113.6945292,2425.9,,,,,,,,,0.04,,,,,,,,,0.39,,,Snow
Palmer/White River Snow Core Integrated,Palmer/White River Snow Core Integrated,7/22/18,,,,MH,Snow,45.35763491,-121.7010264,2545.6896,0,,,,,5,7,,0.5,,,,,,,5,1817.5,0.15,SW,West,Snow
Reynolds Mountain Snowpack,Reynolds Mountain Snowpack,7/28/18,,,,GNP,Snow,48.68625313,-113.7358488,2090.62,,,,,,,,,0.04,,,,,,,,,0.19,,,Snow
Sad Drip,Sad Drip Seep,8/6/17,,,,GNP,Seep,48.69540818,-113.7326212,2160.12,,,,,,27,33,5.97,0.039,1.98,0.09,2.26,0.26,0.011,0.371,28,,0.4,,,Clements/Reynolds Region
Palmer/White River Surface Snow,Palmer/White River Surface Snow,7/22/18,,,,MH,Snow,45.35763491,-121.7010264,2545.6896,0,,,,,,,,,,,,,,,,1817.5,0.24,SW,West,Snow
Snow next to Weeping Wall,Snow Near Weeping Wall,7/29/18,,,,GNP,Snow,48.72664335,-113.7236659,1775.76,,,,,,10,12,0.076,0.04,,0.071,,0.096,,,7,,0.22,,,Snow
Mountain Goat Spring 2,Mountain Goat Spring,8/7/17,JM1762_Mtn_Goat,JM1762_Mtn_Goat,2,GNP,Spring,48.70084077,-113.6910636,2268.32,0.4,11.06,8.1,7.21,151.9,8,10,1.02,0.039,0.25,0.02,0.17,0.03,0.002,0.433,7,,0.84,,,Piegan Region
Palmer/White River Top Snow Core,Palmer/White River Top Snow Core,7/22/18,,,,MH,Snow,45.35763491,-121.7010264,2545.6896,0,,,,,,,,,,,,,,,,1817.5,0.13,SW,West,Snow
Puddle in Camp Creek Campground,Puddle in Camp Creek Campground,9/21/19,,,,MH,Rain,45.30450454,-121.8672095,1348.1304,,,,,,,,,,,,,,,,,15461.3,0.06,SW,West,Rain
Still Creek Campground Precipitation 1,Still Creek Campground Precipitation 1,9/17/19,,,,MH,Rain,45.29451554,-121.7386498,1118.0064,,,,,,,,,,,,,,,,,9403.7,0.07,SW,West,Rain
Still Creek Campground Precipitation 2,Still Creek Campground Precipitation 2,9/18/19,,,,MH,Rain,45.29451554,-121.7386498,1118.0064,,,,,,8,10,0.705,0.5,0.254,0.14,0.05,0.096,0.005,,7,9403.7,0.23,SW,West,Rain
Timberline Lodge Parking Lot Precipitation,Timberline Lodge Parking Lot Precipitation,9/17/19,,,,MH,Rain,45.33114115,-121.7079365,1789.176,,,,,,6,7,0.42,0.5,0.148,0.062,0.34,0.174,0.002,1,7,4810.6,0.01,SW,West,Rain
Timberline Lodge Prepitation,Timberline Lodge Prepitation,9/18/19,,,,MH,Snow,45.33266291,-121.7071872,1792.5288,,,,,,,,,,,,,,,,,4633.4,0.26,SW,West,Snow
